Year,"Healthcare Costs (Nominal, CHF)",Index 1995=100 (Healthcare Costs),GDP Nominal (CHF),Index 1995=100 (GDP),% of GDP,Population (Thousands),Healthcare Costs per Capita (CHF),Population
1995.0,36011.9575346754,100.0,417228.340764342,100.0,8.63123474994611,7040.6865,426.236342325845,7040686.5
1996.0,37726.1709898953,104.760122949632,420368.493912857,100.752622207485,8.97454769712497,7071.85,444.558012753561,7071850.0
1997.0,38496.8972323855,106.900318304878,427826.113313086,102.540041390604,8.9982579450949,7088.9055,452.548671916343,7088905.5
1998.0,40027.8460798533,111.151541932457,439954.878698141,105.447026415359,9.09817074839553,7110.001,469.149559892857,7110001.0
1999.0,41279.314695349,114.626689358949,447465.786937466,107.247217702837,9.22513316110084,7143.9905,481.515602698392,7143990.5
2000.0,43019.4314145132,119.458741927845,471540.038343875,113.01725992056,9.12317680712849,7184.2495,499.001686658586,7184249.5
2001.0,45697.6538457143,126.895778441682,483636.918238318,115.916602729412,9.44875217801223,7226.6455,526.957883913939,7226645.5
2002.0,47570.5876466369,132.096644845901,482077.197007523,115.542773562405,9.86783609387244,7284.753,544.179828364769,7284753.0
2003.0,49367.6540436256,137.086838437178,487606.518867422,116.868024347088,10.1244860627158,7339.0005,560.562868241,7339000.5
2004.0,51297.2699692969,142.445102907564,502265.680026119,120.381486815108,10.2131744232712,7389.625,578.483007925491,7389625.0
2005.0,52323.6361010185,145.295173278589,520848.315345466,124.835315451318,10.0458491578903,7437.115,586.289577130138,7437115.0
2006.0,52982.3124467033,147.124222268915,553721.551628673,132.71427118644,9.56840352174577,7483.9335,589.956164614763,7483933.5
2007.0,55405.4775278039,153.853001393925,589085.155401668,141.19011050939,9.40534267749893,7551.1165,611.44906548813,7551116.5
2008.0,58491.2480773691,162.421740115207,614407.719341564,147.259344419413,9.51994029958671,7647.675,637.3532705187,7647675.0
2009.0,61081.9410167344,169.615719883929,603039.073630263,144.534542530243,10.1290187796662,7743.831,657.318290054953,7743831.0
2010.0,62487.9396,173.519974691271,624545.118545873,149.689044948801,10.0053523347505,7824.909,665.481004315833,7824909.0
2011.0,64332.9803,178.643385986598,635738.744235166,152.37189857969,10.1194053191452,7912.398,677.554603758136,7912398.0
2012.0,66603.4766,184.948225977075,643645.589067922,154.266986726931,10.3478494580302,7996.861,694.058545805244,7996861.0
2013.0,69484.4457,192.948260680065,654611.668970321,156.895302886449,10.6146054208438,8089.3455,715.802097339024,8089345.5
2014.0,71218.9933,197.764848610143,665618.374466887,159.533356062895,10.6996735715178,8188.6485,724.773582396818,8188648.5
2015.0,73510.4017,204.12775847916,668006.381699435,160.105706260433,11.0044460223548,8282.396,739.62495977412,8282396.000000001
2016.0,76118.34,211.369626121287,677848.330564167,162.464594165004,11.2294058372391,8373.338,757.546751367256,8373338.0
2017.0,78128.3058,216.951010576893,684558.467478291,164.07285905464,11.4129485663659,8451.84,770.328372283432,8451840.0
2018.0,79458.6876,220.645288508658,709521.556495542,170.055935125532,11.1989109946795,8514.3285,777.695774834152,8514328.5
2019.0,81909.7562,227.451551671775,716878.589831865,171.819246151539,11.4258895943888,8575.28,795.987188367805,8575280.0
2020.0,83622.546,232.207721336673,696619.958670146,166.963720008562,12.0040410785296,8638.1665,806.715811740836,8638166.5
2021.0,89234.239,247.790581542471,743330.231111451,178.1590938309,12.0046562436421,8704.5455,854.287749237836,8704545.5
2022.0,91481.9049,254.032024812629,781460.269370374,187.29798362661,11.7065330747662,8777.088,868.567351153367,8777088.0
